HIP	Cst	Bayer
38170	Pup	ksi  
38089	Pup	Q    
38164	Pup	P    
38373	CMi	zet  
38372	Pup	     
38382	Pup	     
38623	Lyn	     
38639	Lyn	     
38538	Gem	phi  
38427	Pup	     
38423	Pup	     
38414	Pup	a    
38455	Pup	b    
38722	Gem	     
38518	Pup	J    
38848	Cnc	     
38835	Pup	j    
39261	Cam	     
38962	CMi	     
38901	Pup	chi  
38872	Pup	N    
38827	Car	chi  
39348	Cam	     
38917	Pup	O    
39079	Mon	     
39023	Pup	     
39191	Cnc	ome  
39177	Cnc	     
38957	Pup	V    
39263	Cnc	     
39236	Cnc	     
39211	Mon	     
39311	CMi	G    
39424	Gem	chi  
39138	Car	D    
39567	Cnc	     
39429	Pup	zet  
39722	Lyn	     
39524	Pup	     
39659	Cnc	     
39847	Lyn	     
39780	Cnc	mu.  
40215	Cam	     
39874	Cnc	     
39757	Pup	rho  
39863	Mon	zet  
40007	Cnc	psi01
40023	Cnc	psi  
39906	Pup	     
40035	Pup	     
      	Vel	gam01
40167	Cnc	zet02
40167	Cnc	zet01
39953	Vel	gam02
40084	Pup	     
40240	Cnc	     
39903	Car	B    
40474	Cam	     
39794	Vol	eps  
40091	Pup	h01  
40259	Pup	     
40155	Vel	AH   
40646	Lyn	     
40274	Pup	r    
40326	Pup	h02  
40772	Cam	     
40282	Vel	     
      	Cnc	R    
40526	Cnc	bet  
40875	Lyn	     
40604	Pup	     
40429	Car	C    
40843	Cnc	chi  
40881	Cnc	lam  
40706	Pup	q    
41075	Lyn	     
40945	Pup	w    
41117	Cnc	d01  
41067	Pup	     
41163	Cnc	     
41039	Vel	B    
41211	Hya	     
41319	Cnc	d02  
40817	Vol	kap01
40834	Vol	kap02
41377	Cnc	phi01
41037	Car	eps  
41404	Cnc	phi02
      	Cnc	phi02
41389	Cnc	     
      	Cnc	     
41307	Hya	C    
40702	Cha	alf  
41400	Cnc	     
41375	Hya	     
41704	UMa	omi  
41574	Cnc	     
